Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
63,Jonathan Aranda*,27,TBR,AL,3.5,106,422,370,56,117,22,0,14,59,0,2,41,107,.316,.393,.489,.883,146,.377,147,181,9,8,0,3,3,3DH,AS,arandjo01
64,Otto López,26,MIA,NL,3.5,143,594,544,66,134,21,0,15,77,15,6,44,82,.246,.305,.368,.672,86,.307,89,200,9,3,0,3,2,*64/HD,,lopezot01
65,Bo Bichette,27,TOR,AL,3.5,139,628,582,78,181,44,1,18,94,4,3,40,91,.311,.357,.483,.840,129,.364,132,281,17,3,0,3,2,*6/DH,MVP-16,bichebo01
66,Freddie Freeman*,35,LAD,NL,3.5,147,627,556,81,164,39,2,24,90,6,2,60,128,.295,.367,.502,.869,141,.376,141,279,13,6,0,5,7,*3/H,ASMVP-13,freemfr01
67,Alex Bregman,31,BOS,AL,3.5,114,495,433,64,118,28,0,18,62,1,1,51,70,.273,.360,.462,.821,128,.357,130,200,12,9,0,2,3,*5/HD,AS,bregmal01
68,Pete Alonso,30,NYM,NL,3.4,162,709,624,87,170,41,1,38,126,1,2,61,162,.272,.347,.524,.871,144,.371,142,327,23,15,0,9,5,*3/D,ASMVP-11SS,alonspe01
69,Yandy Díaz,33,TBR,AL,3.4,150,651,583,79,175,29,1,25,83,3,1,57,92,.300,.366,.482,.848,136,.364,136,281,12,6,0,5,4,*D3,MVP-18,diazya01
70,CJ Abrams*,24,WSN,NL,3.4,144,635,580,92,149,35,5,19,60,31,3,37,125,.257,.315,.433,.748,111,.338,111,251,5,14,1,3,1,*6/HD,,abramcj01
71,Colson Montgomery*,23,CHW,AL,3.3,71,284,255,43,61,9,1,21,55,0,0,25,83,.239,.311,.529,.840,130,.357,131,135,3,2,0,1,1,65/H,ROY-5,montgco01
72,Marcus Semien,34,TEX,AL,3.3,127,534,470,62,108,16,1,15,62,11,1,50,93,.230,.305,.364,.669,97,.301,100,171,8,5,0,9,0,*4,GG,semiema01
